date_label,start_time_label,pump_left_volume_ml,pump_right_volume_ml,pump_total_volume_ml,pump_duration_sec
2018/6/20,2018/6/20 3:37,66,36,102,2280
2018/6/20,2018/6/20 18:51,55,28,83,1740
2018/6/22,2018/6/22 2:00,44,24,68,1320
2018/6/22,2018/6/22 21:42,16,8,24,660
2018/6/25,2018/6/25 8:45,37,20,57,1500
2018/7/5,2018/7/5 16:24,41,27,68,960
2018/7/5,2018/7/5 17:43,28,16,44,660
2018/7/11,2018/7/11 6:45,29,21,50,840
2018/7/16,2018/7/16 7:22,45,25,70,1080
2018/7/18,2018/7/18 4:23,46,36,82,2280
2018/7/21,2018/7/21 11:09,30,18,48,1320
2018/7/21,2018/7/21 21:05,40,25,65,1560
2018/7/26,2018/7/26 21:14,55,35,90,1860
2018/7/27,2018/7/27 9:59,48,28,76,1560
2018/3/31,2018/3/31 15:19,23,15,38,1440
2018/4/3,2018/4/3 20:13,46,10,56,2280
2018/4/25,2018/4/25 18:14,12,12,24,840
2018/5/5,2018/5/5 11:47,13,10,23,660
2018/5/17,2018/5/17 4:54,28,25,53,1080
2018/5/24,2018/5/24 22:25,24,27,51,1440
2018/5/29,2018/5/29 22:45,16,17,33,1080
2018/5/30,2018/5/30 13:10,51,46,97,1440
2018/6/1,2018/6/1 16:40,29,20,49,1260
2018/6/4,2018/6/4 2:39,30,18,48,1680
2018/6/20,2018/6/20 12:04,41,19,60,1260
2018/6/25,2018/6/25 2:17,33,22,55,1260
2018/6/26,2018/6/26 15:31,39,32,71,1380
2018/6/27,2018/6/27 22:53,28,21,49,1020
2018/6/29,2018/6/29 9:24,36,21,57,1320
2018/7/1,2018/7/1 8:14,60,35,95,1620
2018/7/2,2018/7/2 15:42,39,30,69,1020
2018/7/2,2018/7/2 22:48,24,10,34,840
2018/7/4,2018/7/4 16:11,32,20,52,1080
2018/7/6,2018/7/6 7:15,52,30,82,1380
2018/7/10,2018/7/10 10:19,25,20,45,1500
2018/7/14,2018/7/14 4:27,72,37,109,2100
2018/7/15,2018/7/15 20:52,45,30,75,1620
2018/7/16,2018/7/16 21:39,21,13,34,1200
2018/7/22,2018/7/22 13:44,46,27,73,1320
2018/7/22,2018/7/22 15:42,29,24,53,1200
2018/7/28,2018/7/28 17:44,33,23,56,1020
2018/7/31,2018/7/31 11:10,36,25,61,1800
2018/8/2,2018/8/2 3:49,49,32,81,1680
2018/8/11,2018/8/11 23:56,1,-1,1,60
2018/7/27,2018/7/27 14:08,48,22,70,1500
2018/8/7,2018/8/7 12:43,23,13,36,780
2018/8/7,2018/8/7 21:38,23,17,40,1020
2018/8/8,2018/8/8 13:08,40,23,63,1740
2018/8/9,2018/8/9 8:21,33,18,51,1200
2018/4/13,2018/4/13 12:27,20,10,30,1020
2018/4/17,2018/4/17 2:52,30,40,70,1860
2018/4/21,2018/4/21 12:12,30,20,50,1980
2018/4/23,2018/4/23 20:29,15,20,35,1260
2018/4/24,2018/4/24 4:07,20,16,36,840
2018/4/29,2018/4/29 19:40,35,27,62,1200
2018/5/5,2018/5/5 10:04,15,24,39,840
2018/5/8,2018/5/8 16:15,30,15,45,1680
2018/5/11,2018/5/11 2:12,28,30,58,1260
2018/5/13,2018/5/13 12:39,34,31,65,1140
2018/5/13,2018/5/13 15:44,24,20,44,1020
2018/5/14,2018/5/14 15:59,31,34,65,1140
2018/5/16,2018/5/16 2:36,45,38,83,1920
2018/5/31,2018/5/31 1:39,20,17,37,900
2018/6/7,2018/6/7 3:12,42,30,72,1920
2018/6/7,2018/6/7 13:49,38,26,64,1440
2018/6/7,2018/6/7 16:04,35,20,55,1260
2018/6/9,2018/6/9 12:39,49,32,81,2700
2018/6/12,2018/6/12 9:57,48,27,75,1860
2018/6/13,2018/6/13 6:19,43,24,67,1980
2018/6/19,2018/6/19 14:31,42,24,66,1560
2018/6/20,2018/6/20 21:14,32,17,49,900
2018/6/21,2018/6/21 8:36,14,9,23,1260
2018/6/22,2018/6/22 21:58,22,10,32,540
2018/6/26,2018/6/26 6:51,46,28,74,2100
2018/6/30,2018/6/30 19:40,38,19,57,1860
2018/7/7,2018/7/7 7:01,44,37,81,2100
2018/7/8,2018/7/8 3:14,59,38,97,1500
2018/7/8,2018/7/8 10:36,30,20,50,1200
2018/7/12,2018/7/12 2:50,50,32,82,1500
2018/7/14,2018/7/14 23:17,36,19,55,1440
2018/7/15,2018/7/15 13:56,62,37,99,1740
2018/4/15,2018/4/15 15:03,30,20,50,1320
2018/4/21,2018/4/21 8:59,8,8,16,1560
2018/4/22,2018/4/22 1:07,25,30,55,2640
2018/4/22,2018/4/22 4:10,20,25,45,3000
2018/5/1,2018/5/1 11:30,20,10,30,720
2018/5/20,2018/5/20 11:34,21,24,45,1020
2018/5/26,2018/5/26 22:39,46,19,65,1680
2018/5/28,2018/5/28 16:10,41,34,75,1680
2018/6/7,2018/6/7 7:15,35,24,59,1500
2018/6/11,2018/6/11 13:27,33,15,48,1260
2018/6/19,2018/6/19 2:18,30,22,52,1500
2018/6/19,2018/6/19 18:50,60,30,90,2280
2018/6/22,2018/6/22 22:51,27,18,45,1020
2018/6/23,2018/6/23 9:51,26,15,41,1380
2018/6/23,2018/6/23 22:58,23,10,33,840
2018/6/24,2018/6/24 6:17,44,25,69,1380
2018/6/25,2018/6/25 5:44,42,21,63,1620
2018/6/25,2018/6/25 23:04,35,23,58,1440
2018/6/27,2018/6/27 13:02,34,20,54,1860
2018/6/30,2018/6/30 12:28,35,20,55,840
2018/7/6,2018/7/6 9:51,28,26,54,1080
2018/7/12,2018/7/12 18:46,42,21,63,1380
2018/7/12,2018/7/12 22:58,29,18,47,900
2018/7/13,2018/7/13 10:13,25,17,42,1020
2018/7/18,2018/7/18 10:06,45,26,71,1680
2018/7/23,2018/7/23 21:25,30,19,49,1980
2018/7/24,2018/7/24 13:16,34,21,55,1560
2018/7/25,2018/7/25 3:29,43,33,76,1500
2018/7/27,2018/7/27 20:39,-1,18,18,360
2018/7/31,2018/7/31 23:41,36,19,55,1860
2018/8/1,2018/8/1 5:53,38,22,60,1500
2018/8/2,2018/8/2 23:29,26,19,45,1620
2018/4/12,2018/4/12 12:08,30,20,50,1440
2018/4/13,2018/4/13 21:19,25,35,60,1860
2018/4/19,2018/4/19 10:11,10,12,22,600
2018/4/23,2018/4/23 3:13,20,20,40,840
2018/4/24,2018/4/24 23:45,21,21,42,1260
2018/4/28,2018/4/28 4:37,20,16,36,600
2018/5/4,2018/5/4 1:04,17,19,36,840
2018/5/9,2018/5/9 16:00,29,5,34,1020
2018/5/13,2018/5/13 18:01,19,16,35,720
2018/5/17,2018/5/17 14:14,24,26,50,900
2018/5/25,2018/5/25 15:14,21,16,37,900
2018/5/30,2018/5/30 16:59,29,25,54,900
2018/5/31,2018/5/31 18:15,29,27,56,1080
2018/6/10,2018/6/10 10:45,38,11,49,1740
2018/6/10,2018/6/10 18:30,29,12,41,1200
2018/6/12,2018/6/12 16:48,45,25,70,1800
2018/6/16,2018/6/16 10:32,32,17,49,1020
2018/6/16,2018/6/16 14:27,40,24,64,1320
2018/6/23,2018/6/23 13:28,37,21,58,1260
2018/6/23,2018/6/23 16:09,40,28,68,1260
2018/6/24,2018/6/24 21:35,33,18,51,1140
2018/6/27,2018/6/27 6:50,35,25,60,1320
2018/6/27,2018/6/27 16:36,50,28,78,2040
2018/6/28,2018/6/28 22:53,25,14,39,1020
2018/6/29,2018/6/29 11:39,33,30,63,1140
2018/7/3,2018/7/3 23:02,39,20,59,1380
2018/7/6,2018/7/6 3:46,54,34,88,1440
2018/7/6,2018/7/6 23:32,2,2,4,60
2018/7/8,2018/7/8 8:11,64,38,102,1680
2018/7/9,2018/7/9 5:55,49,33,82,1200
2018/7/10,2018/7/10 13:10,39,22,61,1080
2018/7/10,2018/7/10 19:16,48,38,86,1020
2018/8/4,2018/8/4 8:55,52,38,90,1860
2018/8/5,2018/8/5 8:16,76,46,122,1980
2018/8/6,2018/8/6 7:56,41,29,70,1380
2018/8/6,2018/8/6 21:40,15,12,27,1080
2018/8/7,2018/8/7 19:56,37,21,58,1260
2018/3/30,2018/3/30 11:57,-1,2,2,300
2018/4/8,2018/4/8 16:49,60,45,105,3060
2018/4/20,2018/4/20 21:02,14,13,27,1260
2018/5/4,2018/5/4 13:41,34,25,59,1320
2018/5/18,2018/5/18 14:07,22,24,46,1200
2018/5/30,2018/5/30 1:25,29,25,54,1080
2018/6/9,2018/6/9 19:01,8,11,19,900
2018/6/12,2018/6/12 12:34,30,12,42,1140
2018/6/16,2018/6/16 3:18,46,28,74,1620
2018/6/16,2018/6/16 18:14,53,31,84,1560
2018/6/17,2018/6/17 8:38,46,23,69,1680
2018/6/18,2018/6/18 19:30,50,26,76,1800
2018/6/20,2018/6/20 14:20,37,19,56,1860
2018/6/21,2018/6/21 3:01,45,38,83,1680
2018/6/21,2018/6/21 22:37,47,35,82,1560
2018/6/24,2018/6/24 15:47,43,27,70,1200
2018/6/26,2018/6/26 16:01,5,-1,5,60
2018/6/27,2018/6/27 3:03,52,26,78,1680
2018/6/29,2018/6/29 2:50,49,34,83,1500
2018/6/29,2018/6/29 22:56,30,13,43,1020
2018/7/4,2018/7/4 19:30,37,21,58,1740
2018/7/5,2018/7/5 4:04,63,37,100,1440
2018/7/7,2018/7/7 10:06,32,20,52,960
2018/7/16,2018/7/16 17:31,32,20,52,1260
2018/7/16,2018/7/16 20:33,26,17,43,1080
2018/7/17,2018/7/17 19:06,49,27,76,1680
2018/7/25,2018/7/25 19:05,38,30,68,1620
2018/7/28,2018/7/28 19:48,34,20,54,1620
2018/7/29,2018/7/29 6:29,39,18,57,1500
2018/7/29,2018/7/29 19:38,44,13,57,2040
2018/7/30,2018/7/30 6:13,3,-1,3,60
2018/7/30,2018/7/30 23:33,24,14,38,1080
2018/8/3,2018/8/3 21:44,37,23,60,1740
2018/8/5,2018/8/5 2:32,34,20,54,1320
2018/8/8,2018/8/8 16:13,21,21,42,1020
2018/7/20,2018/7/20 14:17,41,25,66,1320
2018/7/20,2018/7/20 23:21,25,11,36,1380
2018/7/25,2018/7/25 21:28,24,21,45,1320
2018/7/31,2018/7/31 21:14,44,22,66,1800
2018/8/11,2018/8/11 16:35,35,21,56,1680
2018/7/16,2018/7/16 12:34,2,1,3,60
2018/7/17,2018/7/17 7:33,11,16,27,1020
2018/7/20,2018/7/20 11:00,25,14,39,1140
2018/7/21,2018/7/21 15:06,29,20,49,900
2018/7/22,2018/7/22 17:18,30,15,45,1260
2018/7/24,2018/7/24 19:44,48,39,87,2040
2018/7/25,2018/7/25 16:41,46,27,73,1500
2018/7/29,2018/7/29 16:08,37,24,61,1260
2018/8/6,2018/8/6 12:09,40,29,69,1200
