feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
,,0,0,0,2018/07/15 08:31:02,
,,0,0,0,2018/07/15 04:19:12,
,,0,0,0,2018/07/14 23:46:06,
,,0,0,0,2018/07/14 23:17:16,
,,0,0,0,2018/07/14 21:30:31,
,,0,0,0,2018/07/14 19:17:36,
,,0,0,0,2018/07/14 16:29:05,
,,0,0,0,2018/07/14 12:08:38,
,,0,0,0,2018/07/14 11:48:13,
,,0,0,0,2018/07/14 08:35:41,
,,0,0,0,2018/07/14 04:27:04,
,,0,0,0,2018/07/13 23:37:29,
,,0,0,0,2018/07/13 21:15:54,
,,0,0,0,2018/07/13 19:30:15,
,,0,0,0,2018/07/13 19:07:41,
,,0,0,0,2018/07/13 17:33:05,
,,0,0,0,2018/07/13 12:59:14,
,,0,0,0,2018/07/13 10:13:17,
,,0,0,0,2018/07/13 07:20:36,
,,0,0,0,2018/07/13 03:13:44,
,,0,0,0,2018/07/12 22:58:17,
,,0,0,0,2018/07/12 21:23:45,
,,0,0,0,2018/07/12 18:46:22,
,,0,0,0,2018/07/12 15:09:55,
,,0,0,0,2018/07/12 11:32:24,
,,0,0,0,2018/07/12 09:25:00,
,,0,0,0,2018/07/12 06:47:04,
,,0,0,0,2018/07/12 02:50:46,
,,0,0,0,2018/07/11 23:03:32,
,,0,0,0,2018/07/11 21:00:49,
,,0,0,0,2018/07/11 20:40:03,
,,0,0,0,2018/07/11 15:41:39,
,,0,0,0,2018/07/11 09:43:47,
,,0,0,0,2018/07/11 06:45:06,
,,0,0,0,2018/07/11 03:45:00,
,,0,0,0,2018/07/11 03:12:49,
,,0,0,0,2018/07/10 22:12:02,
,,0,0,0,2018/07/10 19:16:00,
,,0,0,0,2018/07/10 15:03:34,
,,0,0,0,2018/07/10 13:10:00,
,,0,0,0,2018/07/10 10:19:26,
,,0,0,0,2018/07/10 07:53:03,
,,0,0,0,2018/07/10 04:12:39,
,,0,0,0,2018/07/09 23:08:21,
,,0,0,0,2018/07/09 18:11:56,
,,0,0,0,2018/07/09 15:16:45,
,,0,0,0,2018/07/09 12:56:34,
,,0,0,0,2018/07/09 09:41:04,
,,0,0,0,2018/07/09 05:55:00,
,,0,0,0,2018/07/09 01:26:42,
,,0,0,0,2018/07/08 23:38:05,
,,0,0,0,2018/07/08 21:26:27,
,,0,0,0,2018/07/08 17:02:10,
,,0,0,0,2018/07/08 14:54:02,
,,0,0,0,2018/07/08 12:35:49,
,,0,0,0,2018/07/08 10:36:09,
,,0,0,0,2018/07/08 08:11:06,
,,0,0,0,2018/07/08 03:14:57,
,,0,0,0,2018/07/07 23:05:23,
,,0,0,0,2018/07/07 19:42:21,
,,0,0,0,2018/07/07 15:34:55,
,,0,0,0,2018/07/07 12:13:13,
,,0,0,0,2018/07/07 10:06:45,
,,0,0,0,2018/07/07 07:01:00,
,,0,0,0,2018/07/07 03:53:16,
,,0,0,0,2018/07/06 23:32:15,
,,0,0,0,2018/07/06 23:11:38,
,,0,0,0,2018/07/06 21:22:16,
,,0,0,0,2018/07/06 19:28:15,
,,0,0,0,2018/07/06 16:45:34,
,,0,0,0,2018/07/06 13:57:50,
Bottle Breast Milk,,0,0,110,2018/07/06 11:35:31,
Bottle Formula,,0,0,120,2018/07/06 09:37:54,
Bottle Formula,,0,0,140,2018/07/06 07:00:40,
Bottle Breast Milk,,0,0,150,2018/07/06 03:37:27,
,,0,0,0,2018/07/06 09:51:02,
,,0,0,0,2018/07/06 07:46:29,
,,0,0,0,2018/07/06 07:15:34,
,,0,0,0,2018/07/06 03:46:00,
,,0,0,0,2018/07/05 22:52:50,
,,0,0,0,2018/07/05 20:50:20,
,,0,0,0,2018/07/05 17:43:40,
,,0,0,0,2018/07/05 16:24:30,
,,0,0,0,2018/07/05 13:20:07,
,,0,0,0,2018/07/05 09:02:49,
,,0,0,0,2018/07/05 07:17:00,
,,0,0,0,2018/07/05 04:04:41,
,,0,0,0,2018/07/04 23:16:42,
,,0,0,0,2018/07/04 21:38:32,
,,0,0,0,2018/07/04 19:30:23,
,,0,0,0,2018/07/04 16:11:55,
,,0,0,0,2018/07/04 14:23:41,
,,0,0,0,2018/07/04 11:36:19,
,,0,0,0,2018/07/04 07:24:00,
,,0,0,0,2018/07/04 02:21:50,
,,0,0,0,2018/07/03 23:02:39,
,,0,0,0,2018/07/03 21:00:41,
,,0,0,0,2018/07/03 19:15:07,
,,0,0,0,2018/07/03 15:42:18,
,,0,0,0,2018/07/03 15:20:21,
,,0,0,0,2018/07/03 11:47:33,
,,0,0,0,2018/07/03 09:10:34,
,,0,0,0,2018/07/03 06:16:00,
,,0,0,0,2018/07/03 03:21:06,
,,0,0,0,2018/07/02 22:48:39,
,,0,0,0,2018/07/02 21:15:05,
,,0,0,0,2018/07/02 18:56:49,
,,0,0,0,2018/07/02 15:42:40,
,,0,0,0,2018/07/02 12:52:00,
,,0,0,0,2018/07/02 09:18:03,
,,0,0,0,2018/07/02 04:43:54,
,,0,0,0,2018/07/02 01:24:21,
,,0,0,0,2018/07/01 23:19:01,
,,0,0,0,2018/07/01 21:32:35,
,,0,0,0,2018/07/01 19:49:43,
,,0,0,0,2018/07/01 16:49:16,
,,0,0,0,2018/07/01 14:00:23,
,,0,0,0,2018/07/01 10:57:27,
,,0,0,0,2018/07/01 08:14:44,
,,0,0,0,2018/07/01 03:38:00,
,,0,0,0,2018/06/30 23:30:42,
,,0,0,0,2018/06/30 21:35:26,
,,0,0,0,2018/06/30 19:40:00,
,,0,0,0,2018/06/30 17:10:42,
,,0,0,0,2018/06/30 12:28:26,
,,0,0,0,2018/06/30 09:53:25,
,,0,0,0,2018/06/30 07:02:07,
,,0,0,0,2018/06/30 03:11:09,
,,0,0,0,2018/06/29 22:56:32,
Bottle Breast Milk,,0,0,170,2018/06/29 21:15:42,
,,0,0,0,2018/06/29 21:33:38,
,,0,0,0,2018/06/29 19:22:16,
,,0,0,0,2018/06/29 19:00:21,
Bottle Breast Milk,,0,0,120,2018/06/29 11:32:40,
Bottle Formula,,0,0,80,2018/06/29 16:00:33,
,,0,0,0,2018/06/29 15:56:13,
,,0,0,0,2018/06/29 11:39:38,
Bottle Breast Milk,,0,0,115,2018/06/29 09:30:22,
,,0,0,0,2018/06/29 09:24:04,
Bottle Formula,,0,0,150,2018/06/29 06:40:04,
Bottle Breast Milk,,0,0,180,2018/06/29 02:30:46,
,,0,0,0,2018/06/29 06:45:00,
,,0,0,0,2018/06/29 02:50:36,
,,0,0,0,2018/06/28 22:53:54,
